"Date","Price","Open","High","Low","Vol.","Change %"
"12-05-2025","651.35","655.80","667.10","639.20","358.58K","2.02%"
"09-05-2025","638.45","615.00","641.80","615.00","149.84K","0.50%"
"08-05-2025","635.25","648.60","658.10","628.90","201.80K","-2.04%"
"07-05-2025","648.45","638.95","651.90","627.00","243.93K","0.08%"
"06-05-2025","647.90","669.00","672.35","645.00","242.77K","-3.31%"
"05-05-2025","670.10","639.00","673.25","636.05","304.54K","5.57%"
"02-05-2025","634.75","647.00","661.10","629.05","331.46K","-2.33%"
"30-04-2025","649.90","660.00","673.70","642.00","364.47K","-0.31%"
"29-04-2025","651.90","666.50","674.15","648.40","275.61K","-1.73%"
"28-04-2025","663.35","648.00","674.75","648.00","342.20K","1.52%"
"25-04-2025","653.45","684.00","695.00","648.00","348.00K","-4.05%"
"24-04-2025","681.05","663.00","707.40","657.55","640.09K","2.29%"
"23-04-2025","665.80","655.00","669.50","649.00","366.44K","2.19%"
"22-04-2025","651.50","647.20","659.65","630.15","479.05K","1.68%"
"21-04-2025","640.75","653.00","664.95","639.00","243.49K","-1.88%"
"17-04-2025","653.00","660.00","666.95","646.20","289.18K","-1.82%"
"16-04-2025","665.10","624.90","670.00","620.05","469.13K","7.38%"
"15-04-2025","619.40","616.50","626.95","613.20","375.23K","0.67%"
"11-04-2025","615.30","616.00","631.00","596.85","394.95K","5.29%"
"09-04-2025","584.40","594.80","594.80","566.65","299.24K","-1.71%"
"08-04-2025","594.55","603.15","622.45","589.45","416.28K","3.26%"
"07-04-2025","575.80","513.05","583.00","513.05","770.32K","-7.60%"
"04-04-2025","623.15","699.15","716.80","606.15","1.31M","-10.87%"
"03-04-2025","699.15","670.00","722.00","670.00","1.10M","4.42%"
"02-04-2025","669.55","667.00","675.65","652.80","234.30K","0.42%"
"01-04-2025","666.75","674.75","677.20","659.70","238.82K","-0.37%"
"28-03-2025","669.20","656.00","676.70","652.65","401.36K","2.14%"
"27-03-2025","655.20","670.00","678.70","650.70","361.43K","-3.95%"
"26-03-2025","682.15","692.00","704.75","672.20","298.80K","-1.64%"
"25-03-2025","693.50","727.10","737.70","688.00","419.80K","-4.48%"
"24-03-2025","726.05","704.05","728.00","696.60","443.96K","3.40%"
"21-03-2025","702.20","672.10","709.80","664.60","828.67K","5.45%"
"20-03-2025","665.90","641.00","668.00","638.00","611.04K","3.85%"
"19-03-2025","641.20","634.90","652.00","627.00","432.29K","1.22%"
"18-03-2025","633.50","597.20","639.05","590.85","516.94K","7.69%"
"17-03-2025","588.25","587.55","603.75","585.10","392.31K","0.12%"
"13-03-2025","587.55","615.75","615.75","581.05","331.96K","-3.43%"
"12-03-2025","608.40","626.80","630.00","597.35","335.76K","-2.94%"
"11-03-2025","626.80","585.00","629.90","585.00","420.85K","4.68%"
"10-03-2025","598.80","623.00","627.00","594.10","481.70K","-3.70%"
"07-03-2025","621.80","621.00","631.40","615.10","427.47K","0.07%"
"06-03-2025","621.35","630.45","635.40","615.05","348.62K","0.49%"
"05-03-2025","618.35","625.00","638.40","610.80","367.68K","-0.23%"
"04-03-2025","619.80","596.00","622.40","594.00","294.04K","3.15%"
"03-03-2025","600.90","621.00","629.10","590.10","409.20K","-3.00%"
"28-02-2025","619.50","617.05","638.75","606.25","610.58K","-2.11%"
"27-02-2025","632.85","638.05","643.80","621.25","378.16K","-1.92%"
"25-02-2025","645.25","645.50","655.65","637.80","240.76K","0.13%"
"24-02-2025","644.40","644.00","662.30","637.30","412.81K","-1.15%"
"21-02-2025","651.90","625.00","659.70","615.00","704.95K","2.36%"
"20-02-2025","636.90","628.50","650.95","627.40","428.57K","1.34%"
"19-02-2025","628.45","624.05","642.00","590.50","1.08M","-0.72%"
"18-02-2025","633.00","620.35","641.80","596.00","791.33K","2.04%"
"17-02-2025","620.35","565.95","641.40","565.95","1.62M","-3.85%"
"14-02-2025","645.20","685.00","690.50","624.50","1.23M","-5.08%"
"13-02-2025","679.70","669.00","705.80","669.00","498.39K","2.38%"
"12-02-2025","663.90","680.50","690.60","652.55","1.02M","-3.90%"
"11-02-2025","690.85","735.00","735.60","684.00","578.65K","-5.90%"
"10-02-2025","734.15","743.00","750.60","714.55","536.22K","-1.93%"
"07-02-2025","748.60","725.00","759.90","721.05","622.07K","2.66%"
"06-02-2025","729.20","739.85","760.95","721.50","1.11M","-1.21%"
"05-02-2025","738.15","694.70","743.00","690.00","766.62K","7.23%"
"04-02-2025","688.40","670.00","708.70","669.00","739.84K","3.77%"
"03-02-2025","663.40","671.90","698.45","655.05","729.36K","-1.91%"
"01-02-2025","676.35","678.20","688.45","660.05","396.13K","-1.33%"
"31-01-2025","685.50","659.70","702.00","655.30","1.46M","4.08%"
"30-01-2025","658.65","617.85","697.00","577.05","4.57M","8.17%"
"29-01-2025","608.90","564.95","616.50","564.95","622.80K","6.31%"
"28-01-2025","572.75","560.05","590.00","531.20","1.57M","-0.77%"
"27-01-2025","577.20","591.65","593.70","530.00","1.36M","-4.83%"
"24-01-2025","606.50","629.00","634.70","596.00","716.01K","-3.50%"
"23-01-2025","628.50","583.30","639.95","583.30","1.41M","8.12%"
"22-01-2025","581.30","570.60","588.00","549.00","1.66M","1.88%"
"21-01-2025","570.60","611.10","615.15","566.80","624.11K","-6.57%"
"20-01-2025","610.75","624.20","626.70","610.00","467.48K","-2.15%"
"17-01-2025","624.20","627.00","628.40","614.20","162.46K","-0.19%"
"16-01-2025","625.40","623.10","634.95","612.15","185.32K","1.50%"
"15-01-2025","616.15","630.00","655.75","611.00","470.80K","-1.33%"
"14-01-2025","624.45","605.85","631.95","605.85","656.32K","1.03%"
"13-01-2025","618.10","640.00","655.00","614.30","347.14K","-4.49%"
"10-01-2025","647.15","663.60","668.95","638.60","276.11K","-1.78%"
"09-01-2025","658.90","673.45","675.00","650.00","332.37K","-1.47%"
"08-01-2025","668.75","685.35","692.00","664.55","639.19K","-1.99%"
"07-01-2025","682.35","690.20","706.40","679.55","1.24M","-0.50%"
"06-01-2025","685.80","705.00","706.75","684.00","668.20K","-1.75%"
"03-01-2025","698.00","691.00","713.00","686.55","784.15K","1.24%"
"02-01-2025","689.45","700.00","706.70","685.00","730.93K","-2.11%"
"01-01-2025","704.30","651.85","744.80","651.85","3.46M","6.81%"
"31-12-2024","659.40","654.90","665.45","637.50","440.86K","0.53%"
"30-12-2024","655.95","684.40","684.40","646.00","325.94K","-3.45%"
"27-12-2024","679.40","678.00","689.00","673.20","121.62K","0.26%"
"26-12-2024","677.65","680.05","690.35","675.45","174.09K","-1.50%"
"24-12-2024","688.00","701.35","701.40","678.20","390.33K","-1.61%"
"23-12-2024","699.25","689.10","705.00","666.00","264.96K","2.48%"
"20-12-2024","682.30","712.95","735.00","678.05","386.13K","-2.42%"
"19-12-2024","699.25","687.00","705.95","666.45","457.85K","1.14%"
"18-12-2024","691.40","694.95","712.90","684.00","321.54K","0.17%"
"17-12-2024","690.20","727.00","727.00","685.00","313.20K","-3.52%"
"16-12-2024","715.35","729.00","739.00","713.20","367.39K","0.04%"
"13-12-2024","715.05","709.85","720.95","697.00","275.10K","1.27%"
"12-12-2024","706.05","747.00","753.90","702.80","547.73K","-4.18%"
"11-12-2024","736.85","749.00","750.00","725.05","317.27K","-1.52%"
"10-12-2024","748.25","752.45","752.45","742.75","533.80K","4.41%"
"09-12-2024","716.65","716.65","716.65","716.65","5.30K","5.00%"
"06-12-2024","682.55","650.05","682.55","650.00","147.26K","5.00%"
"05-12-2024","650.05","655.28","660.27","637.49","739.83K","-0.85%"
"04-12-2024","655.63","693.80","698.51","642.98","1.00M","-6.15%"
"03-12-2024","698.59","697.21","706.93","680.67","395.20K","0.20%"
"02-12-2024","697.21","711.31","724.44","685.48","390.78K","-2.60%"
"29-11-2024","715.84","703.56","721.73","689.51","378.85K","2.51%"
"28-11-2024","698.33","672.35","703.69","668.26","577.07K","4.34%"
"27-11-2024","669.27","630.59","682.86","626.46","392.68K","7.19%"
"26-11-2024","624.35","613.52","630.33","613.52","131.28K","0.63%"
"25-11-2024","620.46","665.46","673.23","610.22","563.48K","-5.77%"
"22-11-2024","658.45","657.91","674.10","650.99","193.88K","0.04%"
"21-11-2024","658.19","616.67","669.29","609.45","618.63K","8.01%"
"19-11-2024","609.41","600.54","620.04","596.65","142.44K","1.90%"
"18-11-2024","598.05","613.70","623.76","590.69","367.49K","-3.47%"
"14-11-2024","619.52","601.88","627.70","599.69","525.52K","1.90%"
"13-11-2024","607.94","642.37","642.52","596.73","211.17K","-5.37%"
"12-11-2024","642.41","660.97","667.01","635.14","200.28K","-2.83%"
"11-11-2024","661.12","671.91","683.23","658.34","88.96K","-2.53%"
"08-11-2024","678.30","677.25","687.23","668.63","196.91K","0.33%"
"07-11-2024","676.07","683.73","686.77","674.10","174.81K","-0.42%"
"06-11-2024","678.92","678.63","691.61","670.38","182.78K","0.55%"
"05-11-2024","675.22","676.09","695.55","672.72","146.78K","-1.17%"
"04-11-2024","683.21","684.17","691.72","641.27","407.95K","-0.14%"
"01-11-2024","684.17","684.94","687.65","680.01","33.71K","0.48%"
"31-10-2024","680.89","669.55","684.41","660.99","249.60K","1.97%"
"30-10-2024","667.76","668.41","680.67","658.19","273.04K","2.16%"
"29-10-2024","653.66","664.34","668.39","650.44","232.97K","-0.63%"
"28-10-2024","657.78","656.59","678.00","644.12","265.63K","-0.41%"
"25-10-2024","660.47","678.48","699.91","654.54","860.24K","-1.71%"
"24-10-2024","671.96","684.21","709.06","669.18","708.19K","-1.61%"
"23-10-2024","682.97","675.53","690.74","663.68","334.45K","0.42%"
"22-10-2024","680.12","715.73","731.42","667.93","328.79K","-5.18%"
"21-10-2024","717.24","716.23","731.88","701.79","225.69K","0.59%"
"18-10-2024","713.02","718.25","724.42","697.54","169.60K","-0.88%"
"17-10-2024","719.32","713.89","733.20","712.10","448.76K","0.76%"
"16-10-2024","713.91","689.42","723.76","678.15","646.35K","4.15%"
"15-10-2024","685.46","682.40","695.51","663.03","338.68K","-0.01%"
"14-10-2024","685.55","686.18","695.55","675.07","318.53K","0.43%"
"11-10-2024","682.62","667.54","694.26","667.54","485.65K","2.90%"
"10-10-2024","663.36","658.89","677.39","658.08","267.82K","0.68%"
"09-10-2024","658.89","639.11","670.16","639.11","529.34K","4.26%"
"08-10-2024","631.99","608.44","638.95","606.74","468.01K","2.38%"
"07-10-2024","617.29","640.44","652.81","612.82","401.50K","-3.27%"
"04-10-2024","638.17","629.56","644.77","614.40","411.38K","2.32%"
"03-10-2024","623.70","625.95","643.90","620.70","544.39K","1.70%"
"01-10-2024","613.26","612.38","630.72","601.18","288.25K","0.14%"
"30-09-2024","612.38","617.61","627.70","607.02","221.00K","-0.76%"
"27-09-2024","617.04","601.75","632.52","601.44","625.11K","2.86%"
"26-09-2024","599.86","620.33","622.01","596.82","294.22K","-2.01%"
"25-09-2024","612.16","608.55","622.45","601.44","269.01K","0.21%"
